Sample.ID,Size,Diet,Genus,Species,Genus.modif,Species.modif,Body size,Museum.ID,Site.Name,Level.Age,Age,age,age estimate,Note.age,Age.Category,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel,X.N,X.C,C.N,commnets,analyzed.at.UNM.publication
933-2201,Large,Carnivore,Canis,dirus,Canis,dirus,65000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,4,A12,0.511,12.9,-11.3,,,5.9,18.7,3.2,,x
41229-17220,Small,Herbivore,Sylvilagus,,Sylvilagus,,1173,TMM,Hall's Cave,085-090,,,6398,,Holocene,3,D4,0.537,7,-11.3,,,15.7,42.4,2.7,,x
41229-uncat,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Halls Cave,,Pleistocene,21000,21000,,Pleistocene,2,A10,0.293,7.2,-11.3,,,15.3,42.4,2.8,,x
908-248,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square A-B, 7-8",,,3000,,Holocene,4,B5,0.567,6.1,-11.3,,,16.2,45.8,2.8,,x
908-2003,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square A-G, 7-8",,,3000,,Holocene,5,E8,0.523,6.4,-11.3,,,15.2,43.9,2.9,,x
933-326,Large,Carnivore,Canis,dirus,Canis,dirus,65000,TMM,Friesenhahn Cave,,,,21000,,Pleistocene,5,E3,0.577,12.7,-11.2,,,14.1,43.8,3.1,,x
908-3474,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,Test pit 5,NA,,,,,5,A11,0.544,7.2,-11.2,,,14.6,43.8,3,,x
908-4282,Large,Carnivore,Canis,sp.,Canis,sp.,37000,TMM,Kincaid Shelter,#266,,,,,,4,C7,0.547,11.5,-11.1,,,15.2,43.9,2.9,,x
908-829,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Kincaid Shelter,"Zone 6, Square B-C, 7-8",,,3000,,Holocene,4,B3,0.548,5.7,-10.9,,,14.9,42.5,2.8,,x
908-3898,Small,Carnivore,Taxidea,,Taxidea,,7108,TMM,Kincaid Shelter,"Disturbed Fill, #505",,,,,,6,A9,0.549,11.7,-10.9,,,14.5,42.8,3,,x
40450-437,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Cave Without A Name,Late Pleistocene,Terminal.Pleistocene,13000,13000,assigned 13ka,Pleistocene,5,D7,0.526,9.3,-10.8,,,5.7,17.4,3.1,,x
