Sample.ID,Sample.ID2,Size,Diet,Genus,Species,Genus.modif,Species.modif,Body size,Museum.ID,Site.Name,Latitude,Longitude ,Level.Age,Age,age,age estimate,Note.age,Age.Category,Extinction level,Survivor,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel,X.N,X.C,C.N,commnets,analyzed.at.UNM.publication
TMM-933-2243,933-2243,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-7.85,-1.05,29.19,,,0,,Koch.2004
TMM-933-2676,933-2676,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-8.7,-1.9,30.11,,,0,,Koch.2004
TMM-933-296,933-296,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-8.29,-1.49,30.03,,,0,,Koch.2004
TMM-933-3002,933-3002,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-7.9,-1.1,29.4,,,0,,Koch.2004
TMM-933-3285,933-3285,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-9.57,-2.77,28.51,,,0,,Koch.2004
TMM-933-3390,933-3390,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-6.49,0.31,28.99,,,0,,Koch.2004
TMM-933-3407,933-3407,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-10.33,-3.53,31.05,,,0,,Koch.2004
TMM-933-3525,933-3525,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-8.78,-1.98,29.06,,,0,,Koch.2004
TMM-933-358,933-358,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-8.16,-1.36,29.05,,,0,,Koch.2004
TMM-933-928,933-928,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Friesenhahn Cave,29.62,-98.37,,,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,,,,,-8.89,-2.09,29.29,,,0,,Koch.2004
TMM-937-126b,937-126b,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Blackwater Draw,34.23,-103.42,,,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,,,,,-15.44,-8.64,22.16,,,0,,Koch.2004
TMM-937-254,937-254,Large,Herbivore,Equus,sp.,Equus,sp.,400000,TMM,Blackwater Draw,34.23,-103.42,,,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,,,,,-11.94,-5.14,27.9,,,0,,Koch.2004
TMM-937-46b,937-46b,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Blackwater Draw,34.23,-103.42,,,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,,,,,-15.47,-8.67,23.78,,,0,,Koch.2004
TMM-937-738,937-738,Large,Herbivore,Equus,sp.,Equus,sp.,400000,TMM,Blackwater Draw,34.23,-103.42,,,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,,,,,-13.12,-6.32,26.19,,,0,,Koch.2004
TMM-937-818,937-818,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Blackwater Draw,34.23,-103.42,,,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,,,,,-7.72,-0.92,27.83,,,0,,Koch.2004
TMM-937-907,937-907,Large,Herbivore,Bison,sp.,Bison,sp.,579255,TMM,Blackwater Draw,34.23,-103.42,,,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,,,,,-5.4,1.4,28.14,,,0,,Koch.2004
TMM-937-E6,937-E6,Large,Herbivore,Mammuthus,sp.,Mammuthus,sp.,10800000,TMM,Blackwater Draw,34.23,-103.42,,,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,,,,,-7.06,-0.26,29.29,,,0,,Koch.2004
unknown dark,,,NA,NA,,,,,TMM,NA,,,NA,,,,,,,,6,B12,0.538,NA,-11.7,,,0.3,6.6,21.9,,x
unknown light,,,NA,NA,,,,,TMM,NA,,,NA,,,,,,,,6,B11,0.573,2.4,-24.6,,,9.1,26.1,2.9,,x
