Taxa	Tooth ID	Strata	Element	Lower Age Range (ybp)	Upper Age Range (ybp)	Mean Age (ybp)	Take 1 (mm)	 Take 2 (mm)	 Take 3 (mm)	Tooth Mean	Tooth Stdev	> 5% deviation	Estimated Mass (g)	Standardized Mass (g)	D13C	 D15N 	%C	%N	C:N	Corrected D13C	use isotopes	Groups by ecography paper	groups by 19 levels	Notes	Strata d13C av	Strata d15N av		
Sigmodon hispidus	41229-14574	130-135	UM1-RIGHT	9363	9692	9528		2.36	2.37	2.37	0.01	2.33	70.5	78.6								6	14					
Sigmodon hispidus	41229-14610	130-135	LM1-RIGHT	9363	9692	9528		2.44	2.43	2.44	0.01	2.47	77.7	77.7								6	14					
Sigmodon hispidus	41229-14614	130-135	LM1-RIGHT	9363	9692	9528	2.34		2.33	2.34	0.01	2.26	67.6	67.6								6	14					
Sigmodon hispidus	41229-14615	130-135	UM1-LEFT	9363	9692	9528		2.62	2.59	2.61	0.02	2.5	97.1	108.3								6	14					
Sigmodon hispidus	41229-15017	130-135	UM1-LEFT	9363	9692	9528	2.49	2.51		2.50	0.01	2.39	84.8	94.6								6	14					
Sigmodon hispidus	41229-15018	130-135	LM1-LEFT	9363	9692	9528	2.64	2.65		2.65	0.01	2.62	102.1	102.1								6	14					
Sigmodon hispidus	41229-15044	130-135	LM1-RIGHT	9363	9692	9528		2.27	2.27	2.27	0	2.4	61.6	61.6								6	14					
Onychomys leucogaster	41229-7113	130-135	LM1-LEFT	9363	9692	9528						1.855	31.75742553									6						
Onychomys leucogaster	41229-7114	130-135	no m1	9363	9692	9528																6						
Onychomys leucogaster	41229-7115	130-135	UM1-LEFT	9363	9692	9528						1.838	30.79772227									6						
Onychomys leucogaster	41229-7116	130-135	no m1	9363	9692	9528																6						
Onychomys leucogaster	41229-7117	130-135	no m1	9363	9692	9528																6						
Onychomys leucogaster	41229-7448	130-135	UM1-RIGHT	9363	9692	9528						1.834	30.57489643									6						
Lepus californicus	41229-949	130-135		9363	9692	9528																6						
Onychomys leucogaster	41229-8319	135-140	no m1	9692	10021	9857									-29.6		40.7	0.9	47.4		n	7						
Onychomys leucogaster	41229-8320	135-140	LM1-RIGHT	9692	10021	9857						1.819	29.74934507		-28.9		28.3	0.9	32.4		n	7						
Onychomys leucogaster	41229-8318	135-140	no m1	9692	10021	9857									-28.8		33.7	0.9	36.7		n	7						
Onychomys leucogaster	41229-15547	135-140	UM1-RIGHT	9692	10021	9857									-19.3	9.2	36.2	12.8	2.8		y	7						
Sigmodon hispidus	41229-14981	135-140	UM1-RIGHT	9692	10021	9857	2.54	2.57	2.59	2.57	0.03		92.5	103.2	-18.3	6.3	43.5	15.2	2.9	-19.8	y	7	15					
Onychomys leucogaster	41229-15542	135-140	no m1	9692	10021	9857									-18.0	7.9	42.9	15.6	2.8		y	7						
Onychomys leucogaster	41229-15543	135-140	LM1-LEFT	9692	10021	9857									-18.0	9.3	36.3	13.1	2.8		y	7						
Onychomys leucogaster	41229-15548	135-140	UM1-RIGHT	9692	10021	9857									-17.8	6.4	27.5	9.8	2.8		y	7						
Onychomys leucogaster	41229-15541	135-140	LM1-RIGHT	9692	10021	9857									-17.2	7.0	38.5	14.2	2.7		y	7						
Onychomys leucogaster	41229-15544	135-140	LM1-LEFT	9692	10021	9857									-16.2	5.7	8.6	2.7	3.2		n	7		NOT OK (~300mV)				
Sigmodon hispidus	41229-14986	135-140		9692	10021	9857									-15.9	5.1	36.0	12.4	2.9	-17.4	y	7	15					
Onychomys leucogaster	41229-15546	135-140	no m1	9692	10021	9857									-15.5	8.9	39.8	14.0	2.8		y	7						
Onychomys leucogaster	41229-15540	135-140	LM1-RIGHT	9692	10021	9857									-15.3	7.5	45.3	16.3	2.8		y	7						
Sigmodon hispidus	41229-14985	135-140		9692	10021	9857									-14.6	6.5	34.6	11.9	2.9	-16.1	y	7	15					
Onychomys leucogaster	41229-15545	135-140	no m1	9692	10021	9857									-13.8	9.1	36.7	13.3	2.8		y	7						
Sigmodon hispidus	41229-14982	135-140		9692	10021	9857									-12.2	6.7	33.5	11.3	3.0	-13.7	y	7	15					
Sigmodon hispidus	41229-14983	135-140	UM1-LEFT	9692	10021	9857	2.61	2.65		2.63	0.03	2.52	100.2	111.8	-11.9	7.9	41.8	14.5	2.9	-13.4	y	7	15					
Sigmodon hispidus	41229-14987	135-140		9692	10021	9857									-11.6	6.6	36.4	12.5	2.9	-13.1	y	7	15					
Sigmodon hispidus	41229-14989	135-140	LM1-RIGHT	9692	10021	9857	2.64	2.7		2.67	0.04	2.54	105.4	105.4	-10.3	7.8	40.7	14.0	2.9	-11.8	y	7	15					
Lepus californicus	41229-8472	135-140		9692	10021	9857									-10.0	7.2	40.0	14.0	2.8		y	7						
Sigmodon hispidus	41229-14988	135-140	UM1-LEFT	9692	10021	9857		2.29	2.29	2.29	0	2.25	63.4	70.7	-9.3	8.4	41.2	14.4	2.9	-10.8	y	7	15					
Sigmodon hispidus	41229-15019	135-140	UM1-LEFT	9692	10021	9857		2.43	2.46	2.45	0.02	2.36	78.7	87.8								7	15					
Sigmodon hispidus	41229-15020	135-140	LM1-RIGHT	9692	10021	9857	2.6	2.6	2.6	2.60	0		96.5	96.5								7	15					
Sigmodon hispidus	41229-15021	135-140	LM1-RIGHT	9692	10021	9857	2.54		2.54	2.54	0	2.51	89.3	89.3								7	15					
Sigmodon hispidus	41229-15022	135-140	LM1-RIGHT	9692	10021	9857	2.31	2.31		2.31	0	2.43	65.2	65.2								7	15					
Sigmodon hispidus	41229-15023	135-140	LM1-LEFT	9692	10021	9857	2.68		2.69	2.69	0.01	2.64	107.4	107.4								7	15					
Sigmodon hispidus	41229-15024	135-140	UM1-LEFT	9692	10021	9857	2.71	2.71		2.71	0	2.66	110.7	123.5								7	15		-13.3	6.3		
Sigmodon hispidus	41229-15025	135-140	UM1-LEFT	9692	10021	9857	2.39		2.41	2.40	0.01	2.64	74.0	82.5								7	15		-15.6	7.4		
Sigmodon hispidus	41229-15026	135-140	LM1-LEFT	9692	10021	9857	2.48	2.49		2.49	0.01	2.51	83.1	83.1								7	15					
Sigmodon hispidus	41229-15034	135-140	LM1-RIGHT	9692	10021	9857		2.5	2.53	2.52	0.02	2.6	86.5	86.5								7	15					
Sigmodon hispidus	41229-15035	135-140	LM1-LEFT	9692	10021	9857	2.62	2.61	2.61	2.61	0.01		98.2	98.2								7	15					
Sigmodon hispidus	41229-15036	135-140	LM1-LEFT	9692	10021	9857	2.58		2.56	2.57	0.01	2.51	92.9	92.9								7	15					
Sigmodon hispidus	41229-15037	135-140	LM1-LEFT	9692	10021	9857		2.58	2.64	2.61	0.04	2.47	97.7	97.7								7	15		-16.5	5.1		
Sigmodon hispidus	41229-15038	135-140	LM1-RIGHT	9692	10021	9857		2.39	2.29	2.34	0.07	2.51	68.1	68.1								7	15					
Sigmodon hispidus	41229-15039	135-140	LM1-RIGHT	9692	10021	9857	2.31		2.29	2.30	0.01	2.39	64.3	64.3								7	15					
Sigmodon hispidus	41229-15040	135-140	UM1-LEFT	9692	10021	9857		2.56	2.56	2.56	0	2.44	91.7	102.3								7	15					
Sigmodon hispidus	41229-15041	135-140	LM1-RIGHT	9692	10021	9857		2.19	2.2	2.20	0.01	2.28	55.1	55.1								7	15					
Sigmodon hispidus	41229-15042	135-140	UM1-RIGHT	9692	10021	9857	2.28	2.19		2.24	0.06	2.09	58.5	65.3								7	15					
Sigmodon hispidus	41229-15043	135-140	UM1-LEFT	9692	10021	9857	2.43	2.44		2.44	0.01	2.37	77.7	86.7								7	15					
Onychomys leucogaster	41229-8311	135-140	no m1	9692	10021	9857																7						
Onychomys leucogaster	41229-8312	135-140	no m1	9692	10021	9857																7						
Onychomys leucogaster	41229-8313	135-140	no m1	9692	10021	9857																7						
Onychomys leucogaster	41229-8314	135-140	no m1	9692	10021	9857											8.8	1.5	5.7			7						
Onychomys leucogaster	41229-8315	135-140	LM1-LEFT	9692	10021	9857						1.876	32.97160278				6.2	1.6	3.9			7						
Onychomys leucogaster	41229-8316	135-140	no m1	9692	10021	9857																7						
Onychomys leucogaster	41229-8317	135-140	LM1-RIGHT	9692	10021	9857						1.899	34.33829527									7						
Onychomys leucogaster	41229-8321	135-140	no m1	9692	10021	9857																7						
Onychomys leucogaster	41229-8476	135-140	UM1-RIGHT	9692	10021	9857						1.949	37.44534903									7						
Lepus californicus	41229-15122	135-140		9692	10021	9857																7						
Lepus californicus	41229-15123	135-140		9692	10021	9857																7						
Lepus californicus	41229-15124	135-140		9692	10021	9857																7						
Lepus californicus	41229-15125	135-140		9692	10021	9857																7						
Onychomys leucogaster	41229-15055	135-150	LM1-LEFT	9692	10680	10186						1.883	33.38344409		-27.5		43.7	bdl			n	7						
Onychomys leucogaster	41229-15054	135-150	UM1-RIGHT	9692	10680	10186						2.060	45.03752007									7						
Onychomys leucogaster	41229-15056	135-150	LM1-LEFT	9692	10680	10186						1.996	40.54059262				5.8	bdl				7						
Onychomys leucogaster	41229-15057	135-150	LM1-LEFT	9692	10680	10186						1.942	36.99897494				5.7	0.9	6.1			7						
Onychomys leucogaster	41229-15058	135-150	LM1-LEFT	9692	10680	10186						1.814	29.47766551									7						
Onychomys leucogaster	41229-15059	135-150	LM1-LEFT	9692	10680	10186						1.890	33.79887279									7						
Onychomys leucogaster	41229-15060	135-150	LM1-RIGHT	9692	10680	10186						1.838	30.79772227									7						
Onychomys leucogaster	41229-15061	135-150	LM1-LEFT	9692	10680	10186						1.965	38.47976562				13.2	3.9	3.4			7						
Onychomys leucogaster	41229-15062	135-150	LM1-LEFT	9692	10680	10186						1.891	33.85851363				bdl	bdl				7						
Onychomys leucogaster	41229-15063	135-150	LM1-LEFT	9692	10680	10186						1.784	27.88393479									7						
Onychomys leucogaster	41229-15064	135-150	LM1-RIGHT	9692	10680	10186						1.934	36.4934092									7						
Onychomys leucogaster	41229-15065	135-150	LM1-RIGHT	9692	10680	10186						2.003	41.01640826				bdl	bdl				7						
Onychomys leucogaster	41229-15066	135-150	LM1-RIGHT	9692	10680	10186						1.894	34.03787811				7.3	1.0	7.5			7						
Onychomys leucogaster	41229-15067	135-150	LM1-RIGHT	9692	10680	10186						1.560	17.82950596				bdl	bdl				7						
Onychomys leucogaster	41229-15068	135-150	LM1-RIGHT	9692	10680	10186						1.924	35.8682769				7.4	1.5	5.0			7						
Onychomys leucogaster	41229-15069	135-150	no m1	9692	10680	10186											3.7	bdl				7						
Onychomys leucogaster	41229-15070	135-150	no m1	9692	10680	10186																7						
Onychomys leucogaster	41229-15071	135-150	no m1	9692	10680	10186																7						
Onychomys leucogaster	41229-15072	135-150	no m1	9692	10680	10186											8.3	2.5	3.3			7						
Onychomys leucogaster	41229-15073	135-150	no m1	9692	10680	10186											4.8	bdl				7						
Onychomys leucogaster	41229-15074	135-150	no m1	9692	10680	10186																7						
Onychomys leucogaster	41229-15075	135-150	no m1	9692	10680	10186																7						
Onychomys leucogaster	41229-15076	135-150	no m1	9692	10680	10186											7.6	0.9	8.9			7						
Onychomys leucogaster	41229-243	135-150	LM1-LEFT	9692	10680	10186						2.049	44.24094251									7						
Onychomys leucogaster	41229-244	135-150	LM1-RIGHT	9692	10680	10186						1.900	34.39860061									7						
Onychomys leucogaster	41229-245	135-150	no m1	9692	10680	10186																7						
Onychomys leucogaster	41229-246	135-150	UM1-RIGHT	9692	10680	10186						2.138	50.97657939									7						
Lepus californicus	41229-15121	135-150		9692	10680	10186																7						
Onychomys leucogaster	41229-15561	140-145	no m1	10021	10351	10186									-20.1	8.1	22.6	7.4	3.1		y	7						
Onychomys leucogaster	41229-15584	140-145	UM1-LEFT	10021	10351	10186									-19.9	8.8	40.3	14.3	2.8		y	7						
Onychomys leucogaster	41229-15558	140-145	LM1-RIGHT	10021	10351	10186									-19.6	3.5	32.9	11.0	3.0		y	7						
Onychomys leucogaster	41229-15551	140-145	LM1-RIGHT	10021	10351	10186									-19.5	7.2	39.3	13.5	2.9		y	7						
Onychomys leucogaster	41229-15574	140-145	UM1-RIGHT	10021	10351	10186									-19.0	9.5	42.6	14.7	2.9		y	7						
Onychomys leucogaster	41229-15583	140-145	UM1-LEFT	10021	10351	10186									-18.9	8.5	34.1	11.8	2.9		y	7						
Onychomys leucogaster	41229-15562	140-145	LM1-LEFT	10021	10351	10186									-18.8	10.3	43.6	15.0	2.9		y	7						
Sigmodon hispidus	41229-1473	140-145	LM1-RIGHT	10021	10351	10186	2.5	2.51		2.51	0.01	2.58	85.3	85.3	-18.7	6.5	32.6	11.1	2.9	-20.2	y	7	16					
Onychomys leucogaster	41229-15573	140-145	UM1-RIGHT	10021	10351	10186									-18.6	4.8	35.2	12.5	2.8		y	7						
Onychomys leucogaster	41229-15580	140-145	UM1-LEFT	10021	10351	10186									-18.6	8.6	26.4	9.3	2.8		y	7						
Sigmodon hispidus	41229-10403	140-145		10021	10351	10186									-18.4	6.7	20.9	7.1	3.0	-19.9	y	7	16					
Onychomys leucogaster	41229-15556	140-145	LM1-RIGHT	10021	10351	10186									-18.4	8.8	44.4	15.6	2.8		y	7						
Onychomys leucogaster	41229-15567	140-145	LM1-LEFT	10021	10351	10186									-18.2	11.5	21.4	7.2	3.0		y	7						
Onychomys leucogaster	41229-15579	140-145	UM1-LEFT	10021	10351	10186									-18.1	9.2	20.1	7.0	2.9		y	7						
Onychomys leucogaster	41229-15564	140-145	LM1-LEFT	10021	10351	10186									-17.7	6.5	40.3	13.9	2.9		y	7						
Onychomys leucogaster	41229-15553	140-145	LM1-RIGHT	10021	10351	10186									-17.6	10.0	41.6	14.5	2.9		y	7						
Onychomys leucogaster	41229-15552	140-145	LM1-RIGHT	10021	10351	10186									-17.6	7.6	35.9	13.1	2.7		y	7						
Onychomys leucogaster	41229-15575	140-145	UM1-RIGHT	10021	10351	10186									-17.5	8.4	43.9	15.5	2.8		y	7						
Onychomys leucogaster	41229-15572	140-145	UM1-RIGHT	10021	10351	10186									-17.5	7.3	18.6	6.2	3.0		y	7						
Onychomys leucogaster	41229-15570	140-145	LM1-LEFT	10021	10351	10186									-17.4	10.7	44.2	15.6	2.8		y	7						
Onychomys leucogaster	41229-15581	140-145	UM1-LEFT	10021	10351	10186									-17.0	6.3	19.9	6.4	3.1		y	7						
Onychomys leucogaster	41229-15571	140-145	LM1-LEFT	10021	10351	10186									-17.0	7.1	38.2	13.0	2.9		y	7						
Onychomys leucogaster	41229-15560	140-145	no m1	10021	10351	10186									-17.0	9.9	43.6	15.2	2.9		y	7						
Onychomys leucogaster	41229-15568	140-145	LM1-LEFT	10021	10351	10186									-16.8	10.4	42.8	14.9	2.9		y	7						
Onychomys leucogaster	41229-15576	140-145	no m1	10021	10351	10186									-16.8	6.5	12.8	4.2	3.1		n	7		NOT OK (~500mV)				
Onychomys leucogaster	41229-15578	140-145	no m1	10021	10351	10186									-16.8	10.3	43.5	15.2	2.9		y	7						
Onychomys leucogaster	41229-15569	140-145	LM1-LEFT	10021	10351	10186									-16.5	8.7	42.9	15.2	2.8		y	7						
Onychomys leucogaster	41229-15585	140-145	UM1-LEFT	10021	10351	10186									-15.6	7.0	30.0	10.7	2.8		y	7						
Onychomys leucogaster	41229-15557	140-145	LM1-RIGHT	10021	10351	10186									-15.5	10.6	42.3	14.9	2.8		y	7						
Sigmodon hispidus	41229-1460	140-145	LM1-LEFT	10021	10351	10186		2.4	2.39	2.40	0.01	2.45	73.5	73.5	-15.5	7.1	32.4	10.6	3.1	-17.0	y	7	16					
Onychomys leucogaster	41229-15563	140-145	LM1-LEFT	10021	10351	10186									-15.2	8.3	39.5	14.0	2.8		y	7						
Onychomys leucogaster	41229-15550	140-145	LM1-RIGHT	10021	10351	10186									-15.0	8.1	17.2	5.8	3.0		y	7						
Onychomys leucogaster	41229-15582	140-145	UM1-LEFT	10021	10351	10186									-14.9	7.6	43.3	15.3	2.8		y	7						
Onychomys leucogaster	41229-15565	140-145	LM1-LEFT	10021	10351	10186									-14.8	9.2	38.0	13.5	2.8		y	7						
Onychomys leucogaster	41229-15549	140-145	LM1-RIGHT	10021	10351	10186									-14.8	8.3	39.7	14.0	2.8		y	7						
Onychomys leucogaster	41229-15555	140-145	LM1-RIGHT	10021	10351	10186									-14.7	8.5	45.3	16.3	2.8		y	7						
Onychomys leucogaster	41229-15554	140-145	LM1-RIGHT	10021	10351	10186									-14.6	10.5	44.2	15.7	2.8		y	7						
Sigmodon hispidus	41229-10398	140-145	UM1-LEFT	10021	10351	10186	2.29	2.28		2.29	0.01	2.23	62.9	70.2	-13.6	7.6	27.7	9.0	3.1	-15.1	y	7	16					
Sigmodon hispidus	41229-1467	140-145	LM1-RIGHT	10021	10351	10186		2.53	2.51	2.52	0.01	2.59	87.0	87.0	-13.4	6.4	40.5	14.2	2.9	-14.9	y	7	16					
Onychomys leucogaster	41229-15577	140-145	no m1	10021	10351	10186									-12.8	7.6	44.9	16.2	2.8		y	7						
Sigmodon hispidus	41229-10405	140-145		10021	10351	10186									-12.7	7.2	40.6	14.4	2.8	-14.2	y	7	16					
Onychomys leucogaster	41129-15566	140-145	LM1-LEFT	10021	10351	10186									-12.5	6.5	43.5	14.8	2.9		y	7						
Sigmodon hispidus	41229-1474	140-145	LM1-RIGHT	10021	10351	10186		2.26	2.25	2.26	0.01	2.3	60.2	60.2	-12.5	7.5	34.3	11.8	2.9	-14.0	y	7	16					
Onychomys leucogaster	41229-15559	140-145	LM1-RIGHT	10021	10351	10186									-11.2	7.9	38.0	13.1	2.9		y	7						
Sigmodon hispidus	41229-10399	140-145	UM1-LEFT	10021	10351	10186		2.2	2.16	2.18	0.03		53.9	60.1	-11.0	6.5	32.8	11.0	3.0	-12.5	y	7	16		-14.3	7.3		
Sigmodon hispidus	41229-10401	140-145		10021	10351	10186									-10.7	8.4	25.2	8.4	3.0	-12.2	y	7	16					
Sigmodon hispidus	41229-1466	140-145	UM1-LEFT	10021	10351	10186	2.46		2.49	2.48	0.02	2.39	82.0	91.5	-9.8	7.3	43.0	15.1	2.8	-11.3	y	7	16					
Sigmodon hispidus	41229-1457	140-145	LM1-LEFT	10021	10351	10186		2.41	2.4	2.41	0.01	2.47	74.6	74.6								7	16					
Sigmodon hispidus	41229-1458	140-145	LM1-LEFT	10021	10351	10186	2.6	2.61		2.61	0.01		97.1	97.1								7	16					
Sigmodon hispidus	41229-1459	140-145	LM1-LEFT	10021	10351	10186		2.66	2.61	2.64	0.04		100.9	100.9								7	16					
Sigmodon hispidus	41229-1461	140-145	LM1-LEFT	10021	10351	10186	2.48		2.52	2.50	0.03	2.4	84.8	84.8								7	16					
Sigmodon hispidus	41229-1462	140-145	LM1-LEFT	10021	10351	10186		2.41	2.43	2.42	0.01	2.48	76.1	76.1								7	16					
Sigmodon hispidus	41229-1463	140-145	LM1-LEFT	10021	10351	10186	2.52	2.5		2.51	0.01	2.62	85.9	85.9								7	16					
Sigmodon hispidus	41229-1464	140-145	LM1-LEFT	10021	10351	10186	2.4	2.53		2.47	0.09		80.9	80.9								7	16					
Sigmodon hispidus	41229-1468	140-145	LM1-RIGHT	10021	10351	10186	2.45		2.43	2.44	0.01	2.59	78.2	78.2								7	16					
Sigmodon hispidus	41229-1469	140-145	LM1-RIGHT	10021	10351	10186	2.57	2.58		2.58	0.01	2.61	93.5	93.5								7	16					
Sigmodon hispidus	41229-1470	140-145	LM1-RIGHT	10021	10351	10186	2.55			2.55			90.5	90.5								7	16					
Sigmodon hispidus	41229-1471	140-145	LM1-RIGHT	10021	10351	10186	2.63			2.63			100.2	100.2								7	16					
Sigmodon hispidus	41229-1472	140-145	LM1-RIGHT	10021	10351	10186	2.63	2.65		2.64	0.01		101.5	101.5								7	16					
Sigmodon hispidus	41229-1475	140-145	UM1-RIGHT	10021	10351	10186	2.44		2.42	2.43	0.01	2.49	77.2	86.1								7	16					
Sigmodon hispidus	41229-1476	140-145	UM1-RIGHT	10021	10351	10186		2.44	2.50	2.47	0.04	2.62	81.4									7	16					
Sigmodon hispidus	41229-2626	140-145	UM1-LEFT	10021	10351	10186	2.67		2.61	2.64	0.04		101.5	113.2								7	16					
Sigmodon hispidus	41229-2627	140-145	UM1-LEFT	10021	10351	10186		2.31	2.3	2.31	0.01	2.21	64.8	72.3								7	16					
Sigmodon hispidus	41229-2628	140-145	LM1-RIGHT	10021	10351	10186	2.51	2.56		2.54	0.04	2.41	88.7	88.7								7	16					
Sigmodon hispidus	41229-2629	140-145	LM1-RIGHT	10021	10351	10186		2.32	2.36	2.34	0.03	2.4	68.1	68.1								7	16					
Sigmodon hispidus	41229-2630	140-145	LM1-RIGHT	10021	10351	10186		2.5	2.5	2.50	0	2.64	84.8	84.8								7	16					
Sigmodon hispidus	41229-2631	140-145	LM1-LEFT	10021	10351	10186	2.79	2.84	2.73	2.79	0.06		121.4	121.4								7	16					
Sigmodon hispidus	41229-2632	140-145	LM1-LEFT	10021	10351	10186	2.59	2.64		2.62	0.04	2.51	98.4	98.4								7	16					
Sigmodon hispidus	41229-2633	140-145	LM1-LEFT	10021	10351	10186	2.7	2.66		2.68	0.03	2.58	106.7	106.7								7	16		NA	NA		
Sigmodon hispidus	41229-2634	140-145	LM1-LEFT	10021	10351	10186	2.75	2.72		2.74	0.02		114.1	114.1								7	16					
Sigmodon hispidus	41229-2635	140-145	LM1-LEFT	10021	10351	10186	2.47	2.4		2.44	0.05		77.7	77.7								7	16					
Sigmodon hispidus	41229-10395	140-145	UM1-RIGHT	10021	10351	10186	2.52		2.54	2.53	0.01	2.48	88.2	98.4								7	16		-14.6	7.0		
Sigmodon hispidus	41229-10396	140-145	UM1-RIGHT	10021	10351	10186	2.18		2.12	2.15	0.04	2.04	51.4	57.3								7	16		-15.2	6.4		
Sigmodon hispidus	41229-10397	140-145	UM1-LEFT	10021	10351	10186		2.1	2.23	2.17	0.09		52.6	58.7								7	16					
Sigmodon hispidus	41229-10400	140-145	UM1-LEFT	10021	10351	10186	2.24		2.29	2.27	0.04		61.1	68.2								7	16					
Sigmodon hispidus	41229-10404	140-145	LM1-LEFT	10021	10351	10186	2.51	2.5		2.51	0.01	2.39	85.3	85.3								7	16					
Sigmodon hispidus	41229-10406	140-145	LM1-LEFT	10021	10351	10186	2.31	2.34		2.33	0.02		66.7	66.7								7	16					
Sigmodon hispidus	41229-10407	140-145	LM1-RIGHT	10021	10351	10186	2.63		2.71	2.67	0.06	2.55	105.4	105.4								7	16		-16.0	6.8		
Sigmodon hispidus	41229-14700	140-145	UM1-LEFT	10021	10351	10186	2.47	2.45		2.46	0.01	2.55	80.4	89.7								7	16					
Sigmodon hispidus	41229-14701	140-145	UM1-RIGHT	10021	10351	10186	2.61		2.6	2.61	0.01	2.56	97.1	108.3								7	16					
Sigmodon hispidus	41229-14702	140-145	LM1-RIGHT	10021	10351	10186		2.56	2.55	2.56	0.01	2.52	91.1	91.1								7	16		-12.4	6.8		
Sigmodon hispidus	41229-14703	140-145	LM1-RIGHT	10021	10351	10186	2.77	2.76		2.77	0.01	2.8	118.3	118.3								7	16					
Sigmodon hispidus	41229-14704	140-145	LM1-RIGHT	10021	10351	10186	2.47	2.48		2.48	0.01	2.44	82.0	82.0								7	16					
Sigmodon hispidus	41229-14705	140-145	LM1-LEFT	10021	10351	10186	2.52		2.52	2.52	0	2.56	87.0	87.0								7	16					
Onychomys leucogaster	41229-3039	140-145	LM1-LEFT	10021	10351	10186						1.944	37.12612818									7						
Onychomys leucogaster	41229-3040	140-145	LM1-LEFT	10021	10351	10186						1.938	36.74558346									7						
Onychomys leucogaster	41229-3041	140-145	no m1	10021	10351	10186																7						
Onychomys leucogaster	41229-3042	140-145	LM1-RIGHT	10021	10351	10186						1.863	32.21621156									7						
Onychomys leucogaster	41229-3043	140-145	no m1	10021	10351	10186																7						
Lepus californicus	41229-1477	140-145		10021	10351	10186																7						
Lepus californicus	41229-1478	140-145		10021	10351	10186																7						
Lepus californicus	41229-15126	140-145		10021	10351	10186																7						
Lepus californicus	41229-15127	140-145		10021	10351	10186																7						
Sigmodon hispidus	41229-14977	145-150		10351	10680	10516									-22.1	5.7	43.1	14.4	3.0	-23.6	y	7	17					
Sigmodon hispidus	41229-14578	145-150	LM1-RIGHT	10351	10680	10516	1.91		1.88	1.90	0.02	1.98	33.9	33.9	-21.7	5.0	28.8	9.6	3.0	-23.2	y	7	17		-21.1	6.8		
Sigmodon hispidus	41229-14539	145-150	UM1-RIGHT	10351	10680	10516	2.52			2.52			87.0	97.0	-18.8	6.8	35.7	11.7	3.1	-20.3	y	7	17					
Sigmodon hispidus	41229-14976	145-150	LM1-RIGHT	10351	10680	10516	2.51	2.47	2.54	2.51	0.04		85.5	85.5	-18.8	7.9	38.4	13.1	2.9	-20.3	y	7	17					
Sigmodon hispidus	41229-1815	145-150	UM1-LEFT	10351	10680	10516	2.36	2.39		2.38	0.02		71.5	79.8	-16.5	6.6	41.4	14.4	2.9	-18.0	y	7	17					
Sigmodon hispidus	41229-1814	145-150	LM1-LEFT	10351	10680	10516	2.54	2.53		2.54	0.01		88.7	88.7	-15.9	5.4	39.6	13.7	2.9	-17.4	y	7	17		-14.4	7.4		
Sigmodon hispidus	41229-14980	145-150	UM1-LEFT	10351	10680	10516		2.43	2.45	2.44	0.01	2.67	78.2	87.2	-15.7	7.2	40.5	14.1	2.9	-17.2	y	7	17					
Sigmodon hispidus	41229-1552	145-150	LM1-RIGHT	10351	10680	10516	2.2		2.29	2.25	0.06		59.4	59.4	-15.3	6.8	33.9	11.5	2.9	-16.8	y	7	17					
Sigmodon hispidus	41229-14979	145-150	UM1-RIGHT	10351	10680	10516	2.41		2.42	2.42	0.01	2.49	75.6	84.3	-14.7	6.6	41.3	14.3	2.9	-16.2	y	7	17					
Sigmodon hispidus	41229-14978	145-150	LM1-LEFT	10351	10680	10516	2.52		2.59	2.56	0.05	2.44	91.1	91.1	-14.5	6.5	33.9	11.5	3.0	-16.0	y	7	17					
Sigmodon hispidus	41229-14579	145-150	UM1-RIGHT	10351	10680	10516		2.39	2.37	2.38	0.01	2.46	72.0	80.3	-14.3	6.8	33.9	11.1	3.0	-15.8	y	7	17					
Lepus californicus	41229-15129	145-150		10351	10680	10516									-10.4	5.5	43.1	15.8	2.7		y	7						
Sigmodon hispidus	41229-1816	145-150	UM1-LEFT	10351	10680	10516		2.6	2.61	2.61	0.01	2.74	97.1	108.3	-9.9	8.3	40.3	13.7	2.9	-11.4	y	7	17					
Sigmodon hispidus	41229-15027	145-150	LM1-RIGHT	10351	10680	10516		2.6	2.66	2.63	0.04	2.49	100.2	100.2								7	17					
Sigmodon hispidus	41229-15028	145-150	UM1-RIGHT	10351	10680	10516		2.21	2.34	2.28	0.09	2.49	62.0	69.2								7	17					
Sigmodon hispidus	41229-15029	145-150	LM1-RIGHT	10351	10680	10516	2.61	2.56	2.59	2.59	0.03		94.9	94.9								7	17					
Sigmodon hispidus	41229-15030	145-150	UM1-LEFT	10351	10680	10516	2.67		2.69	2.68	0.01	2.81	106.7	119.0								7	17					
Sigmodon hispidus	41229-15031	145-150	LM1-LEFT	10351	10680	10516	2.6	2.61	2.61	2.61	0.01		97.3	97.3								7	17					
Sigmodon hispidus	41229-15032	145-150	UM1-LEFT	10351	10680	10516	2.52		2.57	2.55	0.04	2.45	89.9	100.3								7	17					
Sigmodon hispidus	41229-15033	145-150	UM1-LEFT	10351	10680	10516		2.5	2.57	2.54	0.05	2.34	88.7	98.9								7	17					
Lepus californicus	41229-1821	145-150		10351	10680	10516																7						
Lepus californicus	41229-15128	145-150		10351	10680	10516																7						
Lepus californicus	41229-15130	145-150		10351	10680	10516																7						
Sigmodon hispidus	41229-14619	145-155		10351	11010	10681									-19.2	6.5	40.4	14.0	2.9	-20.7	y	7	17					
